Player Name, Player Salary in  ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pascal Siakam,1312611.00 ,22,55,38,859,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,1.6,0.089,-3,1.8,-1.1,0.2,103,205,0.502,1,7,0.143,102,198,0.52,0.51,22,32,0.688,64,121,185,17,26,45,33,109,229
Patrick Patterson,5192000.00 ,27,65,8,1599,10.8,0.542,0.659,0.156,4.4,16.2,10.3,6.6,1.3,1.2,8.5,12.5,1.7,1.6,3.3,0.1,0.5,0.4,0.9,1.2,154,384,0.401,94,253,0.372,60,131,0.46,0.52,43,60,0.717,62,229,291,76,40,23,38,120,445
Paul Millsap,31269231.00 ,31,69,67,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,0.132,0.5,2.1,2.7,2.7,430,972,0.442,75,241,0.311,355,731,0.49,0.48,311,405,0.768,111,422,533,252,90,62,158,186,1246
Quincy Acy,1709538.00 ,26,38,1,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.8,-1.2,-3,-0.1,70,170,0.412,37,90,0.411,33,80,0.41,0.52,45,60,0.75,20,95,115,18,14,15,21,67,222
Ryan Anderson,19578455.00 ,28,72,72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4,1.1,5.2,0.118,1.8,-2.6,-0.8,0.6,323,773,0.418,204,506,0.403,119,267,0.45,0.55,129,150,0.86,112,218,330,68,32,14,55,142,979
Serge Ibaka,20061729.00 ,27,79,79,2422,16.4,0.566,0.323,0.127,5.7,19,12.2,5.2,0.8,4.2,9.2,20.9,2.5,2.6,5.1,0.101,-0.5,0.1,-0.4,1,471,982,0.48,124,317,0.391,347,665,0.52,0.54,107,125,0.856,129,409,538,75,41,124,105,215,1173
Skal Labissiere,1312611.00 ,20,33,12,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,0.099,-1.7,-0.9,-2.6,-0.1,117,218,0.537,3,8,0.375,114,210,0.54,0.54,52,74,0.703,51,111,162,27,16,13,37,64,289
Spencer Hawes,6021175.00 ,28,54,1,797,15.6,0.562,0.292,0.188,5.3,21.5,13.4,16.5,0.9,3.3,14,19.8,0.7,1,1.7,0.102,-1.2,0.8,-0.5,0.3,134,277,0.484,25,81,0.309,109,196,0.56,0.53,44,52,0.846,38,153,191,81,15,30,49,77,337
Taj Gibson,14000000.00 ,31,78,71,1989,15.1,0.543,0.018,0.223,8.6,18,13.2,5.9,1.1,2.6,11.9,19.3,1.6,2.5,4,0.098,-2.4,0.3,-2.1,0,365,709,0.515,3,13,0.231,362,696,0.52,0.52,113,158,0.715,158,328,486,73,42,66,105,163,846
Thaddeus Young,14796348.00 ,28,74,74,2237,14.9,0.562,0.172,0.125,6.7,15.8,11.3,8.4,2.6,1.2,11.7,16.5,1.9,2.7,4.6,0.099,0,1.5,1.5,2,362,687,0.527,45,118,0.381,317,569,0.56,0.56,45,86,0.523,131,318,449,122,114,30,96,135,814
Tobias Harris,16000000.00 ,24,82,48,2567,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4,2.8,6.9,0.129,1.1,0.1,1.2,2.1,511,1063,0.481,109,314,0.347,402,749,0.54,0.53,190,226,0.841,63,353,416,142,60,39,95,133,1321
