Player Name, Player Salary in  ,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Harris,4402546.00 ,33,65,0,1087,13.8,0.549,0.519,0.378,1.1,13,6.8,20,2.1,0.6,12.5,19.7,1.1,1.1,2.2,0.096,-0.1,-0.3,-0.4,0.4,136,341,0.399,58,177,0.328,78,164,0.48,0.48,107,129,0.829,11,116,127,136,43,7,57,101,437
Elfrid Payton,3332340.00 ,22,82,58,2412,17.2,0.52,0.16,0.231,3.9,13.8,8.7,35.7,1.8,1.3,15,21.6,2.4,2,4.4,0.088,0.7,0.2,0.9,1.7,430,912,0.471,40,146,0.274,390,766,0.51,0.49,146,211,0.692,89,298,387,529,88,40,178,177,1046
Emmanuel Mudiay,3381480.00 ,20,55,41,1406,10.9,0.483,0.323,0.303,2.3,11.6,7,21.8,1.4,0.7,16.5,22.6,-0.4,0.5,0.2,0.006,-2,-1.8,-3.8,-0.6,208,551,0.377,56,178,0.315,152,373,0.41,0.43,131,167,0.784,29,149,178,217,41,13,123,95,603
Eric Bledsoe,14500000.00 ,27,66,66,2176,20.6,0.563,0.3,0.443,2.5,13.8,8,31.1,2,1.2,15.3,28.1,4,1.4,5.4,0.119,3.7,-0.4,3.3,2.9,449,1034,0.434,104,310,0.335,345,724,0.48,0.49,388,458,0.847,52,268,320,418,92,31,223,164,1390
Fred VanVleet,1312611.00 ,22,37,0,294,10.5,0.443,0.261,0.198,1.5,14.6,8.1,17.5,2.9,0.6,11.1,20.6,-0.1,0.4,0.3,0.041,-3.1,-0.1,-3.2,-0.1,39,111,0.351,11,29,0.379,28,82,0.34,0.4,18,22,0.818,4,38,42,35,17,2,15,36,107
George Hill,20000000.00 ,30,49,49,1544,19.3,0.599,0.384,0.323,1.8,10.5,6.2,22.6,1.7,0.6,10.9,23.5,4,1.9,5.9,0.182,3.8,-0.3,3.6,2.2,289,606,0.477,94,233,0.403,195,373,0.52,0.55,157,196,0.801,23,144,167,203,50,11,85,114,829
Goran Dragic,17000450.00 ,30,73,73,2459,19.7,0.575,0.257,0.335,2.7,9.9,6.3,29,1.8,0.4,14.1,27.1,5,2.6,7.5,0.147,3.4,-0.7,2.7,2.9,534,1124,0.475,117,289,0.405,417,835,0.5,0.53,298,377,0.79,61,217,278,423,89,13,212,199,1483
Isaiah Taylor,1312611.00 ,22,4,0,52,0.3,0.19,0.286,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0,6.4,-0.1,0,0,-0.028,-6.4,-0.1,-6.6,-0.1,1,7,0.143,0,2,0,1,5,0.2,0.14,1,2,0.5,1,2,3,3,1,1,0,6,3
Isaiah Thomas,6261395.00 ,27,76,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.6,1.4,0.4,10.7,34,10.9,1.6,12.6,0.235,8.8,-3.3,5.5,4.8,682,1473,0.463,245,646,0.379,437,827,0.53,0.55,590,649,0.909,43,162,205,449,70,13,210,167,2199
Isaiah Whitehead,1312611.00 ,21,73,26,1643,7.5,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2,204,508,0.402,44,149,0.295,160,359,0.45,0.45,91,113,0.805,32,152,184,192,42,36,142,175,543
Ish Smith,6000000.00 ,28,81,32,1955,14.7,0.477,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,0.9,2.2,3.1,0.076,-1.2,0.4,-0.8,0.6,329,749,0.439,28,105,0.267,301,644,0.47,0.46,72,102,0.706,21,214,235,418,61,33,112,127,758
J.J. Barea,3903900.00 ,32,35,6,771,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,1.3,0.08,2,-2.6,-0.6,0.3,142,343,0.414,53,148,0.358,89,195,0.46,0.49,44,51,0.863,9,75,84,193,14,1,63,30,381
Jameer Nelson,4736050.00 ,34,75,39,2045,11.4,0.544,0.452,0.104,1.5,8.8,5.2,26,1.3,0.3,17,15.8,2.3,0.5,2.8,0.065,0.3,-2.3,-2,0,268,604,0.444,106,273,0.388,162,331,0.49,0.53,45,63,0.714,28,164,192,385,53,8,129,197,687
James Harden,28299399.00 ,27,81,81,2947,27.3,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,11.5,3.6,15,0.245,8.7,1.5,10.1,9,674,1533,0.44,262,756,0.347,412,777,0.53,0.53,746,881,0.847,95,564,659,906,120,37,464,215,2356
Jarrett Jack,2328652.00 ,33,2,0,33,7.7,0.773,0.333,0.667,0,0,0,20.3,3,0,43.6,9.2,0,0,0,0.06,-5.3,-4.1,-9.3,-0.1,2,3,0.667,0,1,0,2,2,1,0.67,2,2,1,0,0,0,5,2,0,3,4,6
Jeff Teague,19000000.00 ,28,82,82,2657,19.2,0.574,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.4,-0.6,1.9,2.6,402,909,0.442,90,252,0.357,312,657,0.48,0.49,360,415,0.867,33,298,331,639,100,32,216,165,1254
Jeremy Lin,12000000.00 ,28,36,33,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,1.3,0.8,2.1,0.115,2.5,-0.5,2,0.9,175,400,0.438,58,156,0.372,117,244,0.48,0.51,115,141,0.816,11,124,135,184,41,14,86,79,523
Jerian Grant,1713840.00 ,24,63,28,1028,13.1,0.555,0.445,0.243,1.8,9.9,5.8,17.3,2.3,0.6,11.7,16,1.3,1.2,2.5,0.118,0,-0.3,-0.3,0.4,128,301,0.425,49,134,0.366,79,167,0.47,0.51,65,73,0.89,17,94,111,120,47,8,44,93,370
Jerryd Bayless,9000000.00 ,28,3,1,71,8.7,0.453,0.156,0.313,4.6,14,9.3,29.4,0,0,19.8,27.7,-0.1,0,-0.1,-0.067,-5.2,-2.9,-8.2,-0.1,11,32,0.344,2,5,0.4,9,27,0.33,0.38,9,10,0.9,3,9,12,13,0,0,9,4,33
Joe Young,1471382.00 ,24,33,0,135,11.4,0.433,0.319,0.208,0.8,13.1,7.1,18,1.5,0,6,27.8,-0.2,0.1,-0.1,-0.022,-3.5,-3.8,-7.3,-0.2,26,72,0.361,5,23,0.217,21,49,0.43,0.4,11,15,0.733,1,16,17,15,4,0,5,5,68
John Wall,18063850.00 ,26,78,78,2836,23.2,0.541,0.19,0.367,2.3,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.7,3,8.8,0.148,3.8,0.2,4,4.3,647,1435,0.451,89,272,0.327,558,1163,0.48,0.48,422,527,0.801,58,268,326,831,157,49,323,151,1805
Jose Calderon,2328652.00 ,35,41,13,539,8.9,0.506,0.478,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,0,0.3,0.3,0.023,-2.9,-1.8,-4.7,-0.4,55,134,0.41,20,64,0.313,35,70,0.5,0.49,11,12,0.917,15,59,74,88,11,1,41,36,141
Jrue Holiday,25686667.00 ,26,67,61,2190,17.1,0.532,0.314,0.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,1.2,2.6,3.8,0.084,1.2,0.5,1.7,2,405,894,0.453,100,281,0.356,305,613,0.5,0.51,119,168,0.708,46,218,264,488,100,43,194,133,1029
Kay Felder,1312611.00 ,21,42,0,386,11.2,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3,-0.3,0.4,0,0.004,-4.9,-1.2,-6.1,-0.4,62,158,0.392,7,22,0.318,55,136,0.4,0.42,35,49,0.714,3,38,41,58,18,7,31,38,166
Kemba Walker,12000000.00 ,26,79,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,5.3,-1.7,3.6,3.9,643,1449,0.444,240,602,0.399,403,847,0.48,0.53,304,359,0.847,45,263,308,435,85,22,168,119,1830
Kris Dunn,4046760.00 ,22,78,7,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-3.7,1.5,-2.2,-0.1,118,313,0.377,21,73,0.288,97,240,0.4,0.41,36,59,0.61,24,142,166,188,78,36,89,178,293
Kyle Lowry,28703704.00 ,30,60,60,2244,22.9,0.623,0.51,0.398,2.4,12.1,7.3,29.9,2,0.7,13.8,24.9,7.8,2.3,10.1,0.216,7.1,-0.4,6.7,4.9,426,918,0.464,193,468,0.412,233,450,0.52,0.57,299,365,0.819,48,240,288,417,88,19,173,170,1344
Kyrie Irving,18868625.00 ,24,72,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.8,-2.3,2.5,2.9,671,1420,0.473,177,441,0.401,494,979,0.51,0.54,297,328,0.905,52,178,230,418,83,25,180,157,1816
Langston Galloway,6666667.00 ,25,74,2,1495,10.4,0.51,0.565,0.117,1.9,9.3,5.6,9.4,1.5,0.3,7.4,18.4,0.2,1.1,1.3,0.041,-0.9,-1.7,-2.6,-0.2,207,545,0.38,120,308,0.39,87,237,0.37,0.49,51,64,0.797,27,129,156,93,46,6,46,96,585
Malcolm Delaney,2500000.00 ,27,73,2,1248,7.5,0.456,0.284,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,145,388,0.374,26,110,0.236,119,278,0.43,0.41,75,93,0.806,11,113,124,193,39,1,95,112,391
Matthew Dellavedova,9607500.00 ,26,76,54,1986,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.3,0.9,1.2,0.029,-1.9,-2.8,-4.7,-1.4,208,534,0.39,79,215,0.367,129,319,0.4,0.46,82,96,0.854,24,123,147,357,53,0,133,153,577
Michael Carter-Williams,2700000.00 ,25,45,19,846,9.9,0.437,0.209,0.252,3,16.4,9.7,20,2.3,2.2,16.3,20.9,-1,1.3,0.2,0.013,-4.1,1.7,-2.4,-0.1,112,306,0.366,15,64,0.234,97,242,0.4,0.39,58,77,0.753,24,128,152,113,38,23,66,102,297
Mike Conley,28530608.00 ,29,69,68,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6.5,-0.7,5.8,4.5,464,1009,0.46,171,419,0.408,293,590,0.5,0.55,316,368,0.859,31,211,242,433,92,19,156,126,1415
Patty Mills,10714286.00 ,28,80,8,1754,15.2,0.577,0.572,0.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,2.8,2.2,5.1,0.139,2.5,-1.2,1.3,1.5,273,622,0.439,147,356,0.413,126,266,0.47,0.56,66,80,0.825,24,118,142,280,65,3,101,109,759
